range_day	hour	value_usd
week_day	0	25
week_day	1	25
week_day	2	25
week_day	3	25
week_day	4	25
week_day	5	25
week_day	6	25
week_day	7	25
week_day	8	25
week_day	9	15
week_day	10	15
week_day	11	15
week_day	12	15
week_day	13	15
week_day	14	15
week_day	15	15
week_day	16	15
week_day	17	15
week_day	18	20
week_day	19	20
week_day	20	20
week_day	21	20
week_day	22	20
week_day	23	20
WEEKEND_DAYS	0	30
WEEKEND_DAYS	1	30
WEEKEND_DAYS	2	30
WEEKEND_DAYS	3	30
WEEKEND_DAYS	4	30
WEEKEND_DAYS	5	30
WEEKEND_DAYS	6	30
WEEKEND_DAYS	7	30
WEEKEND_DAYS	8	30
WEEKEND_DAYS	9	20
WEEKEND_DAYS	10	20
WEEKEND_DAYS	11	20
WEEKEND_DAYS	12	20
WEEKEND_DAYS	13	20
WEEKEND_DAYS	14	20
WEEKEND_DAYS	15	20
WEEKEND_DAYS	16	20
WEEKEND_DAYS	17	20
WEEKEND_DAYS	18	20
WEEKEND_DAYS	19	25
WEEKEND_DAYS	20	25
WEEKEND_DAYS	21	25
WEEKEND_DAYS	22	25
WEEKEND_DAYS	23	25
